id,chassis,variant
200,summoner,smn-primeg
201,warhawk,whk-primeg
202,kintaro,kto-18c
203,spider,sdr-a
204,battlemaster,blr-1ghe
205,vindicator,vnd-1sib
206,vindicator,vnd-1r
207,vindicator,vnd-1aa
208,vindicator,vnd-1x
209,quickdraw,qkd-4gc
210,griffin,grf-1e
211,maddog,mdd-primei
212,maddog,mdd-prime
213,maddog,mdd-a
214,maddog,mdd-b
215,trebuchet,tbt-7mc
216,atlas,as7-s
217,thunderbolt,tdr-9sec
218,iceferret,ifr-primei
219,iceferret,ifr-prime
220,iceferret,ifr-a
221,iceferret,ifr-c
222,locust,lct-pb
223,shadowhawk,shd-gd
224,mistlynx,mlx-primei
225,mistlynx,mlx-prime
226,mistlynx,mlx-b
227,mistlynx,mlx-c
228,raven,rvn-3lc
229,hellbringer,hbr-primei
230,hellbringer,hbr-prime
231,hellbringer,hbr-a
232,hellbringer,hbr-b
233,gargoyle,gar-primei
234,gargoyle,gar-prime
235,gargoyle,gar-a
236,gargoyle,gar-d
237,kingcrab,kgc-000l
238,kingcrab,kgc-000
239,kingcrab,kgc-0000
240,kingcrab,kgc-000b
241,atlas,as7-s-std
242,centurion,cn9-ah-std
243,panther,pnt-10kr
244,panther,pnt-10k
245,panther,pnt-8z
246,panther,pnt-9r
247,enforcer,enf-5dr
248,enforcer,enf-5d
249,enforcer,enf-4r
250,enforcer,enf-5p
251,banshee,bnc-3mc
252,grasshopper,ghr-5jr
253,grasshopper,ghr-5j
254,grasshopper,ghr-5h
255,grasshopper,ghr-5n
256,zeus,zeu-6sr
257,zeus,zeu-6s
258,zeus,zeu-6t
259,zeus,zeu-9s
260,adder,adr-b
261,direwolf,dwf-s
262,gargoyle,gar-c
263,iceferret,ifr-d
264,kitfox,kfx-c
265,maddog,mdd-c
266,mistlynx,mlx-a
267,nova,nva-a
268,stormcrow,scr-a
269,summoner,smn-c
270,timberwolf,tbr-d
271,warhawk,whk-c
272,griffin,grf-1sc
273,wolverine,wvr-6kc
274,urbanmech,um-r63s
275,urbanmech,um-r63
276,urbanmech,um-r60
277,urbanmech,um-r60l
278,jagermech,jm6-ac
279,ebonjaguar,ebj-primei
280,ebonjaguar,ebj-prime
281,ebonjaguar,ebj-a
282,ebonjaguar,ebj-b
283,ebonjaguar,ebj-c
284,executioner,exe-primei
285,executioner,exe-prime
286,executioner,exe-a
287,executioner,exe-b
288,executioner,exe-d
289,thunderbolt,tdr-5s-t
290,arcticcheetah,ach-primei
291,arcticcheetah,ach-prime
292,arcticcheetah,ach-a
293,arcticcheetah,ach-b
294,arcticcheetah,ach-c
295,shadowcat,shc-primei
296,shadowcat,shc-prime
297,shadowcat,shc-a
298,shadowcat,shc-b
299,shadowcat,shc-p
300,griffin,grf-2n
301,highlander,hgn-732b
302,locust,lct-3v
303,direwolf,dwf-w
304,gargoyle,gar-b
305,iceferret,ifr-b
306,mistlynx,mlx-d
307,nova,nva-c
308,stormcrow,scr-b
309,timberwolf,tbr-a
310,battlemaster,blr-2c
311,cataphract,ctf-0xp
312,panther,pnt-10p
313,enforcer,enf-4p
314,grasshopper,ghr-5p
315,zeus,zeu-5s
316,wolverine,wvr-q
317,enforcer,enf-4rc
318,timberwolf,tbr-cc
319,blackknight,bl-6-kntr
320,blackknight,bl-6-knt
321,blackknight,bl-6b-knt
322,blackknight,bl-7-knt
323,blackknight,bl-7-knt-l
324,mauler,mal-1rr
325,mauler,mal-1r
326,mauler,mal-mx90
327,mauler,mal-1p
328,mauler,mal-2p
329,crab,crb-27r
330,crab,crb-27
331,crab,crb-20
332,crab,crb-27b
333,crab,crb-27sl
334,wolfhound,wlf-2r
335,wolfhound,wlf-2
336,wolfhound,wlf-1
337,wolfhound,wlf-1a
338,wolfhound,wlf-1b
339,cicada,cda-3fl
340,wolverine,wvr-7dl
341,zeus,zeu-9s2l
342,nova,nva-dl
343,executioner,exe-cl
344,marauder,mad-3rs
345,marauder,mad-3r
346,marauder,mad-5d
347,marauder,mad-5m
348,marauder,mad-bh2
349,kingcrab,kgc-000bc
350,kingcrab,kgc-000bs
351,arcticcheetah,ach-primec
352,arcticcheetah,ach-primes
353,stormcrow,scr-primec
354,stormcrow,scr-primes
355,direwolf,dwf-wc
356,direwolf,dwf-ws
357,raven,rvn-3ls
358,hunchback,hbk-4ps
359,thunderbolt,tdr-9ses
360,timberwolf,tbr-cs
361,jenneriic,jr7-iico
362,jenneriic,jr7-iic
363,jenneriic,jr7-iic-2
364,jenneriic,jr7-iic-3
365,jenneriic,jr7-iic-a
366,hunchbackiic,hbk-iico
367,hunchbackiic,hbk-iic
368,hunchbackiic,hbk-iic-a
369,hunchbackiic,hbk-iic-b
370,hunchbackiic,hbk-iic-c
371,orioniic,on1-iico
372,orioniic,on1-iic
373,orioniic,on1-iic-a
374,orioniic,on1-iic-b
375,orioniic,on1-iic-c
376,highlanderiic,hgn-iico
377,highlanderiic,hgn-iic
378,highlanderiic,hgn-iic-a
379,highlanderiic,hgn-iic-b
380,highlanderiic,hgn-iic-c
381,warhammer,whm-6rs
382,warhammer,whm-6r
383,warhammer,whm-6d
384,warhammer,whm-7s
385,warhammer,whm-bw
386,rifleman,rfl-3ns
387,rifleman,rfl-3n
388,rifleman,rfl-3c
389,rifleman,rfl-5d
390,rifleman,rfl-lk
391,archer,arc-2rs
392,archer,arc-2r
393,archer,arc-5s
394,archer,arc-5w
395,archer,arc-t
396,locust,lct-1ec
397,commando,com-1dc
398,vindicator,vnd-1aac
399,awesome,aws-9mc
400,battlemaster,blr-2cc
401,mistlynx,mlx-primec
402,shadowcat,shc-primec
403,ebonjaguar,ebj-primec
404,warhawk,whk-cc
405,kodiak,kdk-1s
406,kodiak,kdk-1
407,kodiak,kdk-2
408,kodiak,kdk-3
409,kodiak,kdk-4
410,kodiak,kdk-5
411,kodiak,kdk-sb
412,phoenixhawk,pxh-1s
413,phoenixhawk,pxh-1
414,phoenixhawk,pxh-1b
415,phoenixhawk,pxh-1k
416,phoenixhawk,pxh-2
417,phoenixhawk,pxh-3s
418,phoenixhawk,pxh-r
419,phoenixhawk,pxh-kk
420,catapult,cplt-bb
421,viper,vpr-primes
422,viper,vpr-prime
423,viper,vpr-a
424,viper,vpr-b
425,viper,vpr-c
426,viper,vpr-d
427,viper,vpr-m
428,cicada,cda-3f
429,wolverine,wvr-7d
430,zeus,zeu-9s2
431,nova,nva-d
432,executioner,exe-c
433,cyclops,cp-11-as
434,cyclops,cp-11-a
435,cyclops,cp-10-q
436,cyclops,cp-10-z
437,cyclops,cp-11-a-dc
438,cyclops,cp-11-p
439,cyclops,cp-s
440,centurion,cn9-ancix
441,nightgyr,ntg-primes
442,nightgyr,ntg-prime
443,nightgyr,ntg-a
444,nightgyr,ntg-b
445,nightgyr,ntg-c
446,nightgyr,ntg-d
447,nightgyr,ntg-jk
448,panther,pnt-10kc
449,crab,crb-27bc
450,grasshopper,ghr-5hc
451,zeus,zeu-6tc
452,jenneriic,jr7-iicc
453,hunchbackiic,hbk-iicc
454,orioniic,on1-iic-ac
455,highlanderiic,hgn-iic-cc
456,huntsman,hmn-primes
457,huntsman,hmn-prime
458,huntsman,hmn-a
459,huntsman,hmn-b
460,huntsman,hmn-c
461,huntsman,hmn-p
462,huntsman,hmn-pa
463,blackjack,bj-2l
464,cataphract,ctf-3ll
465,stalker,stk-3fbl
466,hellbringer,hbr-fl
467,summoner,smn-fl
468,summoner,smn-ml
469,linebacker,lbk-primes
470,linebacker,lbk-prime
471,linebacker,lbk-a
472,linebacker,lbk-b
473,linebacker,lbk-c
474,linebacker,lbk-d
475,linebacker,lbk-rl
476,kitfox,kfx-pr
477,adder,adr-cn
478,nova,nva-bk
479,stormcrow,scr-lc
480,summoner,smn-pd
481,timberwolf,tbr-war
482,warhawk,whk-nq
483,direwolf,dwf-uv
484,panther,pnt-10ks
485,mistlynx,mlx-primes
486,crab,crb-27bs
487,shadowcat,shc-primes
488,grasshopper,ghr-5hs
489,ebonjaguar,ebj-primes
490,zeus,zeu-6ts
491,warhawk,whk-cs
492,marauderiic,mad-iics
493,marauderiic,mad-iic
494,marauderiic,mad-iic-8
495,marauderiic,mad-iic-a
496,marauderiic,mad-iic-b
497,marauderiic,mad-iic-c
498,marauderiic,mad-iic-d
499,marauderiic,mad-iic-sc
500,bushwacker,bsw-x1s
501,bushwacker,bsw-x1
502,bushwacker,bsw-x2
503,bushwacker,bsw-s2
504,bushwacker,bsw-p1
505,bushwacker,bsw-p2
506,bushwacker,bsw-hr
507,supernova,snv-1s
508,supernova,snv-1
509,supernova,snv-3
510,supernova,snv-a
511,supernova,snv-b
512,supernova,snv-c
513,supernova,snv-br
514,blackjack,bj-2
515,stalker,stk-3fb
516,hellbringer,hbr-f
517,summoner,smn-f
518,summoner,smn-m
519,assassin,asn-21s
520,assassin,asn-21
521,assassin,asn-23
522,assassin,asn-101
523,assassin,asn-26
524,assassin,asn-27
525,assassin,asn-dd
526,wolfhound,wlf-1c
527,phoenixhawk,pxh-2c
528,warhammer,whm-6dc
529,mauler,mal-mx90c
530,adder,adr-primec
531,nova,nva-sc
532,hellbringer,hbr-fc
533,kodiak,kdk-3c
534,roughneck,rgh-1as
535,roughneck,rgh-1a
536,roughneck,rgh-1b
537,roughneck,rgh-1c
538,roughneck,rgh-2a
539,roughneck,rgh-3a
540,roughneck,rgh-r
541,javelin,jvn-10ns
542,javelin,jvn-10n
543,javelin,jvn-10f
544,javelin,jvn-10p
545,javelin,jvn-11a
546,javelin,jvn-11b
547,javelin,jvn-ht
548,urbanmech,um-k9
549,wolfhound,wlf-gr
550,panther,pnt-kk
551,crab,crb-fl
552,enforcer,enf-gh
553,grasshopper,ghr-mj
554,blackknight,bl-p-knt
555,zeus,zeu-sk
556,mauler,mal-ko
557,kingcrab,kgc-kj
558,uziel,uzl-3ss
559,uziel,uzl-3s
560,uziel,uzl-2s
561,uziel,uzl-3p
562,uziel,uzl-5p
563,uziel,uzl-6p
564,uziel,uzl-be
565,annihilator,anh-2as
566,annihilator,anh-2a
567,annihilator,anh-1a
568,annihilator,anh-1e
569,annihilator,anh-1x
570,annihilator,anh-1p
571,annihilator,anh-mb
572,cougar,cou-primes
573,cougar,cou-prime
574,cougar,cou-c
575,cougar,cou-d
576,cougar,cou-e
577,cougar,cou-h
578,cougar,cou-ba
579,madcatmkii,mcii-1s
580,madcatmkii,mcii-1
581,madcatmkii,mcii-2
582,madcatmkii,mcii-4
583,madcatmkii,mcii-a
584,madcatmkii,mcii-b
585,madcatmkii,mcii-ds
586,mistlynx,mlx-ed
587,arcticcheetah,ach-sh
588,iceferret,ifr-rc
589,shadowcat,shc-mi
590,maddog,mdd-ba
591,ebonjaguar,ebj-ec
592,hellbringer,hbr-vi
593,gargoyle,gar-kw
594,executioner,exe-ch
595,mistlynx,mlx-g
596,arcticcheetah,ach-e
597,iceferret,ifr-p
598,shadowcat,shc-h
599,maddog,mdd-h
600,ebonjaguar,ebj-d
601,hellbringer,hbr-p
602,gargoyle,gar-e
603,executioner,exe-e
604,jenneriic,jr7-iic-fy
605,hunchbackiic,hbk-iic-dw
606,orioniic,on1-iic-sk
607,highlanderiic,hgn-iic-kp
608,osiris,osr-3ds
609,osiris,osr-3d
610,osiris,osr-4d
611,osiris,osr-1v
612,osiris,osr-2v
613,osiris,osr-1p
614,osiris,osr-se
615,nightstar,nsr-9js
616,nightstar,nsr-9j
617,nightstar,nsr-9fc
618,nightstar,nsr-9s
619,nightstar,nsr-9p
620,nightstar,nsr-10p
621,nightstar,nsr-wp
622,arcticwolf,acw-primes
623,arcticwolf,acw-prime
624,arcticwolf,acw-a
625,arcticwolf,acw-p
626,arcticwolf,acw-1
627,arcticwolf,acw-2
628,arcticwolf,acw-bk
629,novacat,nct-primes
630,novacat,nct-prime
631,novacat,nct-a
632,novacat,nct-b
633,novacat,nct-c
634,novacat,nct-d
635,novacat,nct-cc
636,thanatos,tns-4ss
637,thanatos,tns-4s
638,thanatos,tns-4p
639,thanatos,tns-5p
640,thanatos,tns-5s
641,thanatos,tns-5t
642,thanatos,tns-ha
643,urbanmech,um-r68l
644,griffin,grf-5ml
645,victor,vtr-9a1l
646,kitfox,kfx-gl
647,linebacker,lbk-hl
648,hellspawn,hsn-7ds
649,hellspawn,hsn-7d
650,hellspawn,hsn-8e
651,hellspawn,hsn-9f
652,hellspawn,hsn-7p
653,hellspawn,hsn-8p
654,hellspawn,hsn-7d2
655,piranha,pir-1s
656,piranha,pir-1
657,piranha,pir-2
658,piranha,pir-3
659,piranha,pir-a
660,piranha,pir-b
661,piranha,pir-ci
662,blacklanner,bkl-primes
663,blacklanner,bkl-prime
664,blacklanner,bkl-a
665,blacklanner,bkl-c
666,blacklanner,bkl-d
667,blacklanner,bkl-e
668,blacklanner,bkl-bl
669,urbanmech,um-r68
670,griffin,grf-5m
671,victor,vtr-9a1
672,kitfox,kfx-g
673,linebacker,lbk-h
674,sunspider,sns-primes
675,sunspider,sns-prime
676,sunspider,sns-a
677,sunspider,sns-b
678,sunspider,sns-c
679,sunspider,sns-d
680,sunspider,sns-ml
681,sunspider,sns-vg
682,roughneck,rgh-ph
683,fafnir,fnr-5s
684,fafnir,fnr-5
685,fafnir,fnr-5b
686,fafnir,fnr-6u
687,fafnir,fnr-5e
688,fafnir,fnr-6r
689,fafnir,fnr-wr
690,urbanmech,um-sc
691,firestarter,fs9-fs
692,griffin,grf-ar
693,rifleman,rfl-db
694,banshee,bnc-sr
695,atlas,as7-kr
696,maddog,mdd-rv
697,nightstar,nsr-9pc
698,roughneck,rgh-1ac
699,bushwacker,bsw-s2c
700,assassin,asn-101c
701,osiris,osr-1vc
702,uziel,uzl-3pc
703,maddog,mdd-cc
704,bloodasp,bas-primes
705,bloodasp,bas-prime
706,bloodasp,bas-a
707,bloodasp,bas-b
708,bloodasp,bas-c
709,bloodasp,bas-d
710,bloodasp,bas-ra
711,flea,fle-17s
712,flea,fle-17
713,flea,fle-15
714,flea,fle-19
715,flea,fle-20
716,flea,fle-fa
717,flea,fle-r5k
718,hellfire,hlf-1s
719,hellfire,hlf-1
720,hellfire,hlf-2
721,hellfire,hlf-a
722,hellfire,hlf-b
723,hellfire,hlf-c
724,hellfire,hlf-vo
725,vulcan,vl-2ts
726,vulcan,vl-2t
727,vulcan,vl-5t
728,vulcan,vt-5m
729,vulcan,vt-5s
730,vulcan,vt-6m
731,vulcan,vl-bl
732,incubus,inc-1s
733,incubus,inc-1
734,incubus,inc-2
735,incubus,inc-3
736,incubus,inc-4
737,incubus,inc-5
738,incubus,inc-sa
739,champion,chp-1ns
740,champion,chp-1n
741,champion,chp-2n
742,champion,chp-3n
743,champion,chp-1n2
744,champion,chp-1nb
745,champion,chp-inv
746,vaporeagle,vgl-1s
747,vaporeagle,vgl-1
748,vaporeagle,vgl-2
749,vaporeagle,vgl-3
750,vaporeagle,vgl-4
751,vaporeagle,vgl-a
752,vaporeagle,vgl-ri
753,javelin,jvn-11fl
754,rifleman,rfl-8dl
755,warhammer,whm-4ll
756,nightgyr,ntg-hl
757,marauderiic,mad-iic2l
758,charger,cgr-1a1s
759,charger,cgr-1a1
760,charger,cgr-1a5
761,charger,cgr-3k
762,charger,cgr-n7
763,hatamotochi,htm-27ts
764,hatamotochi,htm-27t
765,hatamotochi,htm-27w
766,hatamotochi,htm-28tr
767,hatamotochi,htm-sg
768,warhammeriic,whm-iics
769,warhammeriic,whm-iic
770,warhammeriic,whm-iic-2
771,warhammeriic,whm-iic-3
772,warhammeriic,whm-iic-4
773,warhammeriic,whm-iic-10
774,warhammeriic,whm-iic-ml
775,warhammeriic,whm-iic-bl
776,javelin,jvn-11f
777,rifleman,rfl-8d
778,warhammer,whm-4l
779,nightgyr,ntg-h
780,marauderiic,mad-iic2
781,warhammeriic,whm-iic-a
782,corsair,cor-5rs
783,corsair,cor-5r
784,corsair,cor-6r
785,corsair,cor-7a
786,corsair,cor-5t
787,corsair,cor-7r
788,corsair,cor-ra
789,corsair,cor-br
790,marauderii,mad-4as
791,marauderii,mad-4a
792,marauderii,mad-4hp
793,marauderii,mad-5a
794,marauderii,mad-4l
795,marauderii,mad-6s
796,marauderii,mad-al
797,riflemaniic,rfl-iics
798,riflemaniic,rfl-iic
799,riflemaniic,rfl-iic-2
800,riflemaniic,rfl-iic-3
801,riflemaniic,rfl-iic-4
802,riflemaniic,rfl-iic-a
803,riflemaniic,rfl-iic-ch
804,catapult,cplt-c2s
805,warhammer,whm-9ds
806,marauder,mad-9ms
807,kingcrab,kgc-001s
808,dervish,dv-6ms
809,dervish,dv-6m
810,dervish,dv-7d
811,dervish,dv-8d
812,dervish,dv-6mr
813,dervish,dv-7p
814,dervish,dv-fr
815,catapult,cplt-c2
816,warhammer,whm-9d
817,marauder,mad-9m
818,kingcrab,kgc-001
819,locust,lct-1vs
820,shadowhawk,shd-2hs
821,thunderbolt,tdr-5sspec
822,battlemaster,blr-1gs
823,griffin,grf-1ns
824,wolverine,wvr-6rs
825,urbanmech,um-r60ls
826,phoenixhawk,pxh-1ks
827,thunderbolt,tdr-10ses
828,dragon,drg-1gs
829,thunderbolt,tdr-10se
830,dragon,drg-1g
831,timberwolf,tbr-bhs
832,direwolf,dwf-cs
833,timberwolf,tbr-bh
834,direwolf,dwf-c
835,phoenixhawk,pxh-7s
836,phoenixhawk,pxh-7ss
837,stalker,stk-7d
838,stalker,stk-7ds
839,urbanmech,um-r80
840,urbanmech,um-r80l
841,viper,vpr-f
842,viper,vpr-fl
843,atlas,as7-k3
844,atlas,as7-k3l
845,nightgyr,ntg-dcs
846,roughneck,rgh-blt
847,sunspider,sns-amb
848,mauler,mal-2ps
849,marauderiic,mad-iic-as
850,bloodasp,bas-e
851,bloodasp,bas-es
852,shadowcat,shc-d
853,shadowcat,shc-ds
854,incubus,inc-5c
855,kitfox,kfx-dc
856,flea,fle-17c
857,javelin,jvn-11ac
858,huntsman,hmn-primec
859,vaporeagle,vgl-2c
860,dervish,dv-7dc
861,vulcan,vl-5tc
862,linebacker,lbk-hc
863,summoner,smn-dc
864,archer,arc-2rc
865,marauder,mad-9mc
866,bloodasp,bas-ac
867,marauderiic,mad-iicc
868,annihilator,anh-1ac
869,cyclops,cp-10-qc
870,atlas,as7-d-dcp
871,catapult,cplt-k2p
872,hunchback,hbk-4pp
873,jenner,jr7-fp
874,jenneriic,jr7-iic-ap
875,hunchbackiic,hbk-iic-bp
876,orioniic,on1-iic-ap
877,highlanderiic,hgn-iic-bp
878,kitfox,kfx-p
879,kitfox,kfx-ps
880,summoner,smn-g
881,summoner,smn-gs
882,uziel,uzl-6pp
883,cataphract,ctf-4xp
884,quickdraw,qkd-5kp
885,wolfhound,wlf-1ap
886,crab,crb-27slp
887,blackknight,bl-6b-kntp
888,mauler,mal-mx90p
889,cougar,cou-hp
890,arcticwolf,acw-ap
891,novacat,nct-bp
892,madcatmkii,mcii-bp
893,crusader,crd-3rs
894,crusader,crd-3r
895,crusader,crd-5k
896,crusader,crd-5m
897,crusader,crd-6t
898,crusader,crd-7l
899,crusader,crd-cr
900,spider,sdr-5dp
901,cicada,cda-3mp
902,jagermech,jm6-ddp
903,kingcrab,kgc-000p
904,incubus,inc-4p
905,vaporeagle,vgl-3p
906,hellfire,hlf-ap
907,kodiak,kdk-3p
908,panther,pnt-9rp
909,bushwacker,bsw-x2p
910,grasshopper,ghr-5pp
911,annihilator,anh-1xp
912,mistlynx,mlx-gp
913,stormcrow,scr-bp
914,hellbringer,hbr-bp
915,gargoyle,gar-ep
916,commando,com-1bp
917,centurion,cn9-dp
918,orion,on1-kp
919,marauderii,mad-6sp
920,adder,adr-ap
921,shadowcat,shc-bp
922,timberwolf,tbr-sp
923,supernova,snv-bp
924,warhammer,whm-7sp
925,marauder,mad-5mp
926,rifleman,rfl-5dp
927,archer,arc-5wp
928,warhammeriic,whm-iic-ap
929,marauderiic,mad-iic-dp
930,riflemaniic,rfl-iic-2p
931,maddog,mdd-cp
932,raven,rvn-2xp
933,blackjack,bj-3p
934,thanatos,tns-5sp
935,fafnir,fnr-5bp
936,piranha,pir-2p
937,iceferret,ifr-pp
938,ebonjaguar,ebj-ap
939,bloodasp,bas-bp
940,trebuchet,tbt-7kp
941,assassin,asn-27p
942,hellspawn,hsn-8pp
943,stalker,stk-5mp
944,arcticcheetah,ach-ep
945,blacklanner,bkl-dp
946,nightgyr,ntg-cp
947,warhawk,whk-bp
948,urbanmech,um-r60p
949,enforcer,enf-4pp
950,dragon,drg-1cp
951,cyclops,cp-11-pp
952,phoenixhawk,pxh-1bp
953,crusader,crd-6tp
954,roughneck,rgh-3ap
955,corsair,cor-7ap
956,kitfox,kfx-dp
957,viper,vpr-bp
958,linebacker,lbk-dp
959,executioner,exe-ap
960,huntsman,hmn-pp
961,sunspider,sns-dp
962,hatchetman,hct-3f
963,hatchetman,hct-5s
964,hatchetman,hct-6d
965,hatchetman,hct-5k
966,hatchetman,hct-7r
967,hatchetman,hct-tm
968,locust,lct-3sp
969,shadowhawk,shd-2kp
970,thunderbolt,tdr-9sp
971,battlemaster,blr-3mp
972,wolverine,wvr-7kp
973,griffin,grf-2np
974,nova,nva-ap
975,summoner,smn-bp
976,direwolf,dwf-ap
977,stalker,stk-5scs
978,orioniic,on1-iic-cs
979,banshee,bnc-3es
980,fafnir,fnr-jlgd
981,firestarter,fs9-ap
982,javelin,jvn-10pp
983,vulcan,vt-5sp
984,dervish,dv-6mrp
985,kintaro,kto-19p
986,champion,chp-3np
987,awesome,aws-8qp
988,highlander,hgn-732bp
989,victor,vtr-9bp
990,atlas,as7-d-dc-escort
991,banshee,bnc-3sp
992,hatchetman,hct-7rp
993,osiris,osr-4dp
994,flea,fle-20p
995,vindicator,vnd-1xp
996,jenner,jr7-d-founder
997,catapult,cplt-c1-founder
998,hunchback,hbk-4g-founder
999,atlas,as7-d-founder
3601,zeus,zeu-9sp
3602,nightstar,nsr-10pp
3603,charger,cgr-3kp
3604,hatamotochi,htm-27wp
3605,madcatmkii,mcii-mwklgd
3606,marauderiic,mad-iic-dnlgd
3607,shadowhawk,shd-slgd
3608,cyclops,cp-arlgd
3609,supernova,snv-srlgd
3610,quickdraw,qkd-dlgd
3611,timberwolf,tbr-hlgd
3612,clanannihilator,anh-gzlgd
3613,annihilator,anh-sclgd
3614,stonerhino,sr-1
3615,stonerhino,sr-2
3616,stonerhino,sr-3
3617,stonerhino,sr-4
3618,stonerhino,sr-6
3619,stonerhino,sr-7
3620,stonerhino,sr-k
3621,stonerhino,sr-6s
3622,viper,vpr-dilgd
3623,timberwolf,tbr-scs
3624,executioner,exe-mtsp
3625,stalker,stk-wulgd
3626,atlas,as7-wlgd
